Time_s,Pos_err_norm_m,Ori_err_norm_rad,Jerk_norm_m_s3
1.036242485046386719e+00,5.771308731662322389e-01,1.475264120110623134e+00,3.167997419399836758e+02
1.040181398391723633e+00,5.819006490142111243e-01,1.486686292229108419e+00,3.340702269729713862e+03
1.047084093093872070e+00,5.867553722288858520e-01,1.499816827517757911e+00,3.274985744129283376e+03
1.050962448120117188e+00,5.912009078851649946e-01,1.513575949720057823e+00,3.706785459326458295e+03
1.053299665451049805e+00,5.953498880367051882e-01,1.528107748280277622e+00,9.965325289657892426e+03
1.055919647216796875e+00,5.993461309439016560e-01,1.543472165196920098e+00,1.920344126065623641e+04
1.058410167694091797e+00,6.032870750406361671e-01,1.561001823186329407e+00,1.523964221373184955e+03
1.068880319595336914e+00,6.078654711415559797e-01,1.581080321346749695e+00,3.754749015895541561e+03
1.074964046478271484e+00,6.121279669360384368e-01,1.602582039209870413e+00,3.130198389611967741e+03
1.081601142883300781e+00,6.162650321839715506e-01,1.623877610247853820e+00,7.858719505323587100e+02
1.087488174438476562e+00,6.201774772911272660e-01,1.644423408376441298e+00,8.907552208775038025e+02
1.091662883758544922e+00,6.237929901951667633e-01,1.663827113780966593e+00,2.973106273267371762e+03
1.098371982574462891e+00,6.274504015511966903e-01,1.681712134106678302e+00,3.240782119780754329e+03
1.103810071945190430e+00,6.308457401055274083e-01,1.697765089892922186e+00,1.353294460365197210e+03
1.114624023437500000e+00,6.344853903434660714e-01,1.711497024313489490e+00,2.960466639304395358e+03
1.119541168212890625e+00,6.375563330320139777e-01,1.723144436267240787e+00,2.244910432221411611e+03
1.122625112533569336e+00,6.403698433308600002e-01,1.732559846086299871e+00,5.295615411467348167e+03
1.125287294387817383e+00,6.430159884454402786e-01,1.739626840414680187e+00,3.261150825787484337e+03
1.131592512130737305e+00,6.457843710872983589e-01,1.743872151716891139e+00,7.869606464891437099e+03
1.134342432022094727e+00,6.481533504377048338e-01,1.745957563487966491e+00,7.541144280042622995e+03
1.137165307998657227e+00,6.503832936384497110e-01,1.745582344161190624e+00,7.426404654845914592e+02
1.139226436614990234e+00,6.524167681947703468e-01,1.742862966031032634e+00,8.675900540097227349e+03
1.141248226165771484e+00,6.543054458082738778e-01,1.737728363737756743e+00,8.054874344949832903e+02
1.144830226898193359e+00,6.561568821614568447e-01,1.729927447940018181e+00,1.285148862838195600e+04
1.148296833038330078e+00,6.578580065107663133e-01,1.719743353478994763e+00,1.874802543766626854e+02
1.150355815887451172e+00,6.593277519874698456e-01,1.707494528022465152e+00,1.419972921108029914e+04
1.152413845062255859e+00,6.607233730503989655e-01,1.695083904169075950e+00,5.252486536741537748e+03
1.154471397399902344e+00,6.620225484936018701e-01,1.682811650298910555e+00,4.958206409101931058e+03
1.156530141830444336e+00,6.632030722457400440e-01,1.671046789825210599e+00,5.748590703602153553e+03
1.159813880920410156e+00,6.643081437856844795e-01,1.659605212444452027e+00,7.185268096708027770e+03
1.167274236679077148e+00,6.654679250886109676e-01,1.647482027951706618e+00,2.901270577889298238e+03
1.170163393020629883e+00,6.661456199380426657e-01,1.637036925160949785e+00,5.370139241764581129e+03
1.174386978149414062e+00,6.666401015265548402e-01,1.626366663505019572e+00,2.710568312429497382e+03
1.181664943695068359e+00,6.669950098406357553e-01,1.614457171026535409e+00,1.932754951943755032e+03
1.185745954513549805e+00,6.668480288968586800e-01,1.603241326276578338e+00,3.972282024894562255e+03
1.188525676727294922e+00,6.662749246612805765e-01,1.591944508469926411e+00,7.793225454603008075e+03
1.198577165603637695e+00,6.656526730467193786e-01,1.577251399725350334e+00,7.890196444808143497e+03
1.202187776565551758e+00,6.643282400357940487e-01,1.564715011396582645e+00,5.764349547444277960e+03
1.206082344055175781e+00,6.626063366399306265e-01,1.552172664788760148e+00,1.673291766595607442e+03
1.213194847106933594e+00,6.606144093590448074e-01,1.538977269023715566e+00,4.684913865951455591e+03
1.218472242355346680e+00,6.581607191999698792e-01,1.527366734458504904e+00,1.537159259742534005e+03
1.222921609878540039e+00,6.553156870160293801e-01,1.517276227186619586e+00,1.418968066270901772e+03
1.232133150100708008e+00,6.522921089075903733e-01,1.507288849127010666e+00,3.459334221891201196e+03
1.235786437988281250e+00,6.487782155853585309e-01,1.500727917514785625e+00,4.749423897119922913e+03
1.238484621047973633e+00,6.449660996672402780e-01,1.496192602197907062e+00,5.615173912642898358e+03
1.240841150283813477e+00,6.409039051478281346e-01,1.493482522722683337e+00,4.342522828349827250e+03
1.246539115905761719e+00,6.367044673099949703e-01,1.491826455603842305e+00,1.119206928003804751e+04
1.249045372009277344e+00,6.322301972429076322e-01,1.492392290060372773e+00,9.758155630247181762e+03
1.251430511474609375e+00,6.275784431131593566e-01,1.494358813867350033e+00,2.043304405054492918e+03
1.253575801849365234e+00,6.227652829862030393e-01,1.497529181647178076e+00,6.693727181870014465e+04
1.256049633026123047e+00,6.183806813484149512e-01,1.496324615089245968e+00,1.499568695107992426e+04
1.258121728897094727e+00,6.143538475310265090e-01,1.490842207222469185e+00,7.017833312596550968e+03
1.265321016311645508e+00,6.106950729376722231e-01,1.480975885758858190e+00,2.129445250592373850e+04
1.271143198013305664e+00,6.073207246895573341e-01,1.467377948864506232e+00,1.197087316805278761e+03
1.274960041046142578e+00,6.042476072579857638e-01,1.450194862387171879e+00,4.954979094759783038e+03
1.281391620635986328e+00,6.014977670837157175e-01,1.429632945180360659e+00,5.289903928485673532e+03
1.285194635391235352e+00,5.990861760019773330e-01,1.405938199561333590e+00,5.961559682429217901e+03
1.289628028869628906e+00,5.970284299493073821e-01,1.379437287847782301e+00,2.845752484703070877e+03
1.295833110809326172e+00,5.953131754759527494e-01,1.350578127608953016e+00,3.441116379330113432e+03
1.301079273223876953e+00,5.939654620395887763e-01,1.319635501372901532e+00,1.946441001968955561e+03
1.303810119628906250e+00,5.930244663152042239e-01,1.286886352239295928e+00,1.342596777409207971e+04
1.306149721145629883e+00,5.924729890285282963e-01,1.253057352645712053e+00,1.355500307498724433e+05
1.316591024398803711e+00,5.920437053248885917e-01,1.229934341758712968e+00,4.326340672816515871e+04
1.320795059204101562e+00,5.918606300031883372e-01,1.217589886708849267e+00,9.926108527775897528e+03
1.324102401733398438e+00,5.917377164295501979e-01,1.217458129064833638e+00,3.200205942805163431e+03
1.331476449966430664e+00,5.915049648028292140e-01,1.231241605239906889e+00,1.756495201582916707e+04
1.334665775299072266e+00,5.913521394722895952e-01,1.255549057376109667e+00,6.937942530168455050e+03
1.337337017059326172e+00,5.911968193537382454e-01,1.289036235692629928e+00,2.653017369501692519e+04
1.340024709701538086e+00,5.910367748511138331e-01,1.329510110297315029e+00,1.616000256431608250e+04
1.343222618103027344e+00,5.908579013909498467e-01,1.372912750314757568e+00,1.404741921262419601e+04
1.347655057907104492e+00,5.906417533973641332e-01,1.415214863433635673e+00,8.521607474174752497e+03
1.350959062576293945e+00,5.904476359820423070e-01,1.452496249083525814e+00,1.485816572712016523e+03
1.353028059005737305e+00,5.902733385605409833e-01,1.483712343051103666e+00,5.619108164003391721e+03
1.355088949203491211e+00,5.900790631519624574e-01,1.509460623417505865e+00,3.476601233218721973e+03
1.357149362564086914e+00,5.898615961940589791e-01,1.529748214624694791e+00,2.192523243590762831e+03
1.359210014343261719e+00,5.896191921850321149e-01,1.544610257588450608e+00,1.297821064938610334e+03
